hdf5_index,varname,Variable Name Expanded by chatGPT,Possible Annotation by chatGPT (Description),cleanshortname
153,TV,TV (Tidal Volume),Volume of air moved into or out of the lungs during a single breathing cycle,TV
154,Terlipressin_1.0,Terlipressin_1.0,"Administration of Terlipressin, typically for variceal bleeding",Terlipressin
155,Thiazide_1.0,Thiazide_1.0,Administration of Thiazide diuretics,Thiazide
156,Thrombozytenhemmer_1.0,Thrombozytenhemmer_1.0,Administration of platelet aggregation inhibitors,PA Inhibitor
157,Thyreostatikum_1.0,Thyreostatikum_1.0,Administration of thyroid hormone synthesis inhibitors,THS Inhibitor
158,Thyrotardin_1.0,Thyrotardin_1.0,Administration of drugs to reduce thyroid hormone levels,Thyrotardin
159,Thyroxin_1.0,Thyroxin_1.0,Administration of Thyroxine,Thryroxine
160,Trace elements_1.0,Trace elements_1.0,Administration of trace elements,Trace E
161,Troponin-T,Troponin-T,"Level of Troponin-T, indicating cardiac muscle damage",Troponin-T
162,Urea,Urea,"Urea level in the blood, indicating kidney function",Urea
163,Ventilator mode_1.0,Ventilator mode_1.0,Indicators of specific ventilator modes,VM 1
164,Ventilator mode_11.0,Ventilator mode_11.0,Indicators of specific ventilator modes,VM 11
165,Ventilator mode_12.0,Ventilator mode_12.0,Indicators of specific ventilator modes,VM 12
166,Ventilator mode_13.0,Ventilator mode_13.0,Indicators of specific ventilator modes,VM 13
167,Ventilator mode_14.0,Ventilator mode_14.0,Indicators of specific ventilator modes,VM 14
168,Ventilator mode_15.0,Ventilator mode_15.0,Indicators of specific ventilator modes,VM 15
169,Ventilator mode_2.0,Ventilator mode_2.0,Indicators of specific ventilator modes,VM 2
170,Ventilator mode_3.0,Ventilator mode_3.0,Indicators of specific ventilator modes,VM 3
171,Ventilator mode_4.0,Ventilator mode_4.0,Indicators of specific ventilator modes,VM 4
172,Ventilator mode_5.0,Ventilator mode_5.0,Indicators of specific ventilator modes,VM 5
173,Ventilator mode_6.0,Ventilator mode_6.0,Indicators of specific ventilator modes,VM 6
174,Ventilator mode_7.0,Ventilator mode_7.0,Indicators of specific ventilator modes,VM 7
175,Ventilator mode_8.0,Ventilator mode_8.0,Indicators of specific ventilator modes,VM 8
176,VitB Substitution_1.0,VitB Substitution_1.0,Administration of Vitamin B supplements,Vit B
177,Weight,Weight,Patient's weight,Weight
178,ZVD,ZVD (Central Venous Pressure),Measurement of the pressure in the central veins,CVP
179,Zentral venÃ¶se sÃ¤ttigung,Zentral venöse sättigung (Central Venous Oxygen Saturation),Measurement of oxygen saturation in central venous blood,CVOS
180,a-BE,a-BE (Arterial Base Excess),Measurement of excess or deficit of base in the blood,aBE
181,aPTT,aPTT (Activated Partial Thromboplastin Time),"Measurement of blood clotting time, specifically the intrinsic pathway",aPTT
182,a_COHb,a_COHb (Carboxyhemoglobin),"Level of COHb, indicating carbon monoxide poisoning",aCOHb
183,a_HCO3-,a_HCO3- (Bicarbonate),"Arterial bicarbonate level, indicating metabolic acid-base status",aHCO3-
184,a_Hb,a_Hb (Arterial Hemoglobin),Hemoglobin level in arterial blood,aHb
185,a_Lac,a_Lac (Arterial Lactate),"Arterial lactate level, indicating tissue oxygenation and perfusion",aLac
186,a_MetHb,a_MetHb (Methemoglobin),"Level of MetHb, indicating oxidation of hemoglobin",aMetHb
187,a_PO2,a_PO2 (Arterial Partial Pressure of Oxygen),"Partial pressure of oxygen in arterial blood, indicating oxygenation status",aPO2
188,a_SO2,a_SO2 (Arterial Oxygen Saturation),Saturation of oxygen in arterial blood,aSO2
189,a_pCO2,a_pCO2 (Arterial Partial Pressure of Carbon Dioxide),"Partial pressure of CO2 in arterial blood, indicating respiratory function",apCO2
190,a_pH,a_pH (Arterial pH),"pH level of arterial blood, indicating acid-base balance",apH
191,administration of antiviral_1.0,administration of antiviral_1.0,Administration of antiviral medications,Antivirals
192,admissiontime,admissiontime,Time of Admission,admissiontime
193,age,age,age,age
194,albumin,albumin,"Albumin level in the blood, indicating nutritional status and liver function",albumin
195,alkaline phosphatase,alkaline phosphatase,"Enzyme level, indicating bone or liver issues",AP
196,bilirubine total,"bilirubine, total","Total bilirubin level, indicating liver function or hemolysis",Bilirubin
197,coagulation factors_1.0,coagulation factors_1.0,Administration of coagulation factors,coagulation factors
198,creatine kinase,creatine kinase,"Enzyme level, indicating muscle damage",CK
199,creatine kinase-MB,creatine kinase-MB,"Isoenzyme of creatine kinase, indicating heart muscle damage",creatine kinase-MB
200,creatinine,creatinine,"Creatinine level in the blood, indicating kidney function",creatinine
201,desmopressin,desmopressin,"Administration of Desmopressin, typically for bleeding disorders",desmopressin
202,dobutamine,dobutamine,"Administration of Dobutamine, typically for heart failure",dobutamine
203,epinephrine,epinephrine,"Administration of Epinephrine, for cardiac arrest or anaphylaxis",epinephrine
204,factor X,factor X,Coagulation Factor X level,factor X
205,gamma-GT,gamma-GT (Gamma-Glutamyltransferase),"Enzyme level, indicating liver function",gamma-GT
206,glucose,glucose,"Glucose level in the blood, indicating metabolic status",glucose
207,height,height,Patient's height,height
208,levosimendan,levosimendan,"Administration of Levosimendan, typically for heart failure",levosimendan
209,lymphocyte,lymphocyte,"Lymphocyte count, indicating immune status",lymphocyte
210,milrinone,milrinone,"Administration of Milrinone, typically for heart failure",milrinone
211,non-steroids_1.0,non-steroids_1.0,Administration of non-steroidal medications,Non Steroids
212,norepinephrine,norepinephrine,"Administration of Norepinephrine, for shock or low blood pressure",Norepinephrine
213,pH Drain,pH Drain,"pH level in drainage fluid, indicating infection or other conditions",pH Drain
214,pH Liquor,pH Liquor,"pH level in cerebrospinal fluid, indicating brain conditions",pH Liquor
215,packed red blood cells,packed red blood cells,Administration of packed red blood cells for anemia or blood loss,pRBC
216,phosphate,phosphate,"Phosphate level in the blood, indicating kidney function or bone metabolism",phosphate
217,platelet count,platelet count,"Number of platelets in the blood, indicating clotting ability",platelets
218,platelets,platelets,Administration of platelet transfusions,platelets Admin
219,procalcitonin,procalcitonin,"Level of procalcitonin, indicating bacterial infection",procalcitonin
220,sex_M,sex_M,Patient's sex male / female,sex
221,steroids_1.0,steroids_1.0,Administration of Steroids,Steroids
222,supplemental oxygen,supplemental oxygen,Administration of supplemental oxygen,supp O2
223,theophyllin,theophyllin,"Administration of Theophylline, typically for asthma or COPD",theophyllin
224,total white blood cell count,total white blood cell count,"Total number of white blood cells, indicating immune response or infection",total WBC
225,urinary Na+,urinary Na+,"Sodium level in urine, indicating kidney function",urinary Na+
226,urinary creatinin,urinary creatinin,"Creatinine level in urine, indicating kidney function",UC
227,urinary urea,urinary urea,"Urea level in urine, indicating kidney function",urinary urea
228,v-Lac,v-Lac (Venous Lactate),"Venous lactate level, indicating tissue oxygenation and perfusion",v-Lac
229,vasodilatators_1.0,vasodilatators_1.0,Administration of vasodilator medications,vasodilatators
230,vasopressin,vasopressin,"Administration of Vasopressin, typically for diabetes insipidus or vasodilatory shock",vasopressin
